Protein	Source ID	Standard Name	ratio	EsExp	Es	Fluxes	iCUB	tAI	T3s	C3s	A3s	G3s	CAI_CODONW	CBI	Fop_CODONW	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo	CAI_EMBOSS	CAI_coRdon	MELP	E	GCB	Fop_coRdon	MILC_SELF	MILC_REF	B_SELF	B_REF	MCB_SELF	MCB_REF	ENC	ENC_prime_SELF	ENC_prime_REF	SCUO	Sc	St
P27247	fluxes_Gecko_GLC_CHEM_mu=0.41_P	plsX	4.77709181989062E-05	1.002829887714E-08	4.79061045334038E-13	1.57798605569287E-06	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.22_P	plsX	5.19119919219619E-05	5.38103842188E-09	2.79340423088401E-13	9.20123430444001E-07	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.50_S	plsX	0.000222648165028687	1.2229632777E-08	2.72290529677374E-12	8.9690168531345E-06	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.21_V	plsX	0.00049467000932019	5.13644576634E-09	2.54084567510806E-12	8.3693280512766E-06	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.51_P	plsX	0.000553490122019069	1.247422543254E-08	6.90436055674994E-12	2.27423723722526E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.46_P	plsX	0.000671698782100441	1.125126215484E-08	7.55745908649881E-12	2.48936229967292E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_PYR_BATCH_mu=0.4_S	plsX	0.000675773721122545	9.7837062216E-09	6.61157155974043E-12	2.17779504910722E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P27247	fluxes_Gecko_GLC_CHEM_mu=0.12_S	plsX	0.00169502751866531	2.78063229456E-09	4.71324825856867E-12	1.55250361127863E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P0A858	fluxes_Gecko_GAM_BATCH_mu=0.46_S	tpiA	0.0030259258709729	1.03253820650004E-06	3.12438407181643E-09	0.0617507220000008	34.7395743650731	0.403286370939651	0.3535	0.3636	0.2683	0.2634	0.742	0.706	0.833	33.85	0.492	0.528	246	255	0.010196	0.05098	0.77	0.975145014397974	1.66669777885309	1.72696040659497	0.230038221123822	0.788844621513944	0.98094355624592	0.58855514700508	0.607833969624656	0.351967518944522	0.552741224573114	0.456455829491204	33.850097301275	40.6726574115523	53.0851392518606	0.443030848014004	-0.3153	0.6251
P00509	fluxes_Gecko_GLYC_BATCH_mu=0.47_S	aspC	0.0035942360635179	1.16423264987044E-05	4.18452697648934E-08	2.04958931039999	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
P27247	fluxes_Gecko_GLC_CHEM_mu=0.11_V	plsX	0.00404074807602652	2.69051921094E-09	1.08717103251182E-11	3.58104827383882E-05	36.3291811414327	0.317240563746334	0.3288	0.25	0.26	0.3486	0.205	0.025	0.413	54.48	0.497	0.522	346	356	0.118258	0.042135	0.602	0.667249582384344	0.761916585594401	0.665602291966362	-0.527712475235397	0.345714285714286	0.695488036641748	0.912813882505485	0.413421752813472	0.621124292694541	0.498976598295773	2.34743026764905	54.480020136741	45.3582387461226	30.1238984366524	0.101139991350663	-0.0582	0.079
P00509	fluxes_Gecko_GLC_CHEM_mu=0.49_V	aspC	0.00436658568587187	1.23229844796323E-05	5.38093676359836E-08	4.16606160611699	30.178780115408	0.36691036984964	0.3602	0.3727	0.2248	0.2847	0.476	0.389	0.648	44.53	0.522	0.524	383	396	-0.201515	0.090909	0.767	0.764369824189142	1.02646943630801	0.751257493543786	-0.0872852210161457	0.460358056265985	0.55060801673369	0.536409558100538	0.257226637443275	0.342394770972468	0.124190493974331	0.64509752368588	44.5349635849772	59.7965398403935	42.1911047719186	0.1976186779943	-0.1739	0.4025
